Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,ResultScore
1,2:15:55,0.0,Sutume Asefa KEBEDE,11 DEC 1994,ETH,1,Tokyo (JPN),03 MAR 2024,1276
2,2:16:07,0.0,Tigist KETEMA,15 SEP 1998,ETH,1,Dubai (UAE),07 JAN 2024,1274
3,2:16:14,0.0,Rosemary WANJIRU,09 DEC 1994,KEN,2,Tokyo (JPN),03 MAR 2024,1272
4,2:16:58,0.0,Amane Beriso SHANKULE,13 OCT 1991,ETH,3,Tokyo (JPN),03 MAR 2024,1265
5,2:18:05,0.0,Sifan HASSAN,01 JAN 1993,NED,4,Tokyo (JPN),03 MAR 2024,1253
6,2:18:09,0.0,Ruti AGA,16 JAN 1994,ETH,2,Dubai (UAE),07 JAN 2024,1252
7,2:18:51,0.0,Workenesh EDESA,11 SEP 1992,ETH,1,Osaka (JPN),28 JAN 2024,1245
8,2:18:59,0.0,Honami MAEDA,17 JUL 1996,JPN,2,Osaka (JPN),28 JAN 2024,1244
9,2:19:17,0.0,Betsy SAINA,30 JUN 1988,USA,5,Tokyo (JPN),03 MAR 2024,1241
10,2:19:29,0.0,Dera DIDA,26 OCT 1996,ETH,3,Dubai (UAE),07 JAN 2024,1239
11,2:19:30,0.0,Ashete BEKERE,17 APR 1988,ETH,1,Rotterdam (NED),14 APR 2024,1238
12,2:19:33,0.0,Rahma TUSA,14 SEP 1993,ETH,1,"Houston, TX (USA)",14 JAN 2024,1238
13,2:19:52,0.0,Degitu AZIMERAW,24 JAN 1999,ETH,1,Barcelona (ESP),10 MAR 2024,1235
14,2:19:55,0.0,Vicoty CHEPNGENO,12 NOV 1993,KEN,2,"Houston, TX (USA)",14 JAN 2024,1234
15,2:20:45,0.0,Mestawut FIKIR,02 MAR 2000,ETH,1,Paris (FRA),07 APR 2024,1226
16,2:20:48,0.0,Enatnesh Alamrew TIRUSEW,1995,ETH,2,Paris (FRA),07 APR 2024,1225
17,2:20:57,0.0,Viola Jelagat KIBIWOT,22 DEC 1983,KEN,2,Rotterdam (NED),14 APR 2024,1224
18,2:21:18,0.0,Yuka ANDO,16 MAR 1994,JPN,1,Nagoya (JPN),10 MAR 2024,1220
19,2:21:25,0.0,Eunice Chebichii CHUMBA,23 MAY 1993,BRN,2,Nagoya (JPN),10 MAR 2024,1219
20,2:21:27,0.0,Jackline SAKILU,28 DEC 1986,TAN,1,Chongqing (CHN),24 MAR 2024,1218
21,2:21:32,0.0,Fikrte WERETA,21 SEP 2000,ETH,1,Seoul (KOR),17 MAR 2024,1218
21,2:21:32,0.0,Angela TANUI,27 JUL 1992,KEN,2,Daegu (KOR),07 APR 2024,1218
23,2:21:33,0.0,Ayuko SUZUKI,08 OCT 1991,JPN,3,Nagoya (JPN),10 MAR 2024,1217
