"annotation_id","annotator","created_at","date","favorites","hashtags","id","is_retweet","lead_time","retweets","sentiment","source","text","updated_at","user_created","user_description","user_favourites","user_followers","user_friends","user_location","user_name","user_verified"
1,"1","2024-05-21T07:41:06.166721Z","2021-07-11 10:43:25",4,"",1414173477695676423,False,38.868,3,"other","Twitter Web App","The number of Covid-19 cases today, 11 July 2021.
Remember to observe safety and protective measures when you’re ou… https://t.co/o9aJXzo2nw","2024-05-21T07:56:11.316704Z","2009-07-29 01:58:44","Breaking news updates from the website of Malaysia's free and largest circulating urban newspaper. Like Thesundaily on Facebook & Instagram.",450,146855,463,"Petaling Jaya","theSun",False
2,"1","2024-05-21T07:41:56.850326Z","2021-02-17 08:30:32",28,"['PfizerBioNTech']",1361956183830130691,False,20.555999999999997,9,"negative","Twitter Web App","@SkyNews No - it can't be a 'condition of employment' because: 

1. #PfizerBioNTech jab isn't legally/technically a… https://t.co/iKlbD2jWPj","2024-05-21T07:56:21.023898Z","2020-10-25 20:33:33","'Trust' is not carte-blanche for erosion of our liberty, privacy, & the pursuit of global control.

TG: https://t.co/VTjXzI8Cth
Enquiries: stopcommonpass@pm.me",5334,2360,250,"Global","STOPCOMMONPASS.ORG ❌",False
3,"1","2024-05-21T07:42:59.395008Z","2020-12-20 13:03:18",2,"",1340643941113278464,False,72.61,0,"other","Twitter Web App","@SimonClarkeMP Give the NHS staff the resources and support they need to tackle this health crisis. The right suppl… https://t.co/ST5T1bWrA3","2024-05-21T07:56:34.899179Z","2019-12-18 18:27:04","Pro EU  & Value NHS.  Interests Travel, Politics & theatre /film.  Retweets not endorsements.",63779,3104,4997,"","Tamina Rashell #FBPE",False
4,"1","2024-05-21T07:43:08.912478Z","2021-02-07 13:54:42",9,"['PfizerBiontech', 'vaccination']",1358413881790595081,False,42.066,0,"2th dose","Twitter for iPhone","45 hours after second #PfizerBiontech #vaccination slept good, fever is gone. All is good 😌 https://t.co/8VV6ipRLvx","2024-05-21T07:57:13.098755Z","2018-08-20 15:17:16","Assist. Prof. @HowardU Coll. Med., Dept. Anat.; RESEARCH: Evo & Devo of Head & Heart Musculature; TEACHING: Anatomy & Embryology MD, OT, PT, Grads; she/her",30084,2119,1992,"Washington, DC","Janine M. Ziermann, PhD",False
5,"1","2024-05-21T07:43:35.846412Z","2021-01-22 20:32:03",1,"['vaccinationCovid', 'vaccinated', 'PfizerBioNTech', 'Moderna']",1352715673173110785,False,29.239,1,"1th dose","Twitter for iPhone","@Peston @neil_ferguson There might be a pandemic yet #vaccinationCovid #vaccinated #PfizerBioNTech #Moderna https://t.co/nkIiyzQtQk","2024-05-21T07:57:37.921603Z","2012-01-31 19:39:06","we need a first amendment now and the second for what lies ahead. I’ll never vote for globalists again. No DMs please. Now on Parler @redial999.",79045,2812,2518,"God’s own country","🔱🇬🇧jojo🇬🇧🔱",False
6,"1","2024-05-21T07:43:55.760065Z","2021-01-01 23:14:10",1,"['PfizerVaccine']",1345146326426779652,False,29.582,0,"negative","Twitter Web App","What happened to ""following the science""?? 😡 (Also, seriously? A u-turn on day one of 2021?)  #PfizerVaccine… https://t.co/IGaL5O9lDm","2024-05-21T07:57:52.179832Z","2009-06-13 17:46:19","Glaswegian. Feminist. Politics nerd. Travel enthusiast 🗺 Formerly @Europarl_EN🇧🇪 #StillEuropean🇪🇺 Fan-geek of film, theatre, rugby.",25113,789,3987,"Glasgow, Scotland","AislingL",False
7,"1","2024-05-21T07:44:05.234962Z","2021-02-21 08:57:45",6,"['PfizerBioNTech', 'vaccine']",1363412584448151556,False,15.219000000000001,1,"1th dose","Twitter for iPhone","@DHA_Dubai Finally got my first dose of #PfizerBioNTech #vaccine   Wonderful faultless experience. Amazing staff. C… https://t.co/kywvhIITnK","2024-05-21T07:58:02.160261Z","2009-04-21 23:50:07","UK Hatched in '70s. Made in '80's. Now UAE (AD)& working with schools in MEA if I'm not negotiating with my 8yr old twins and terrible 2’s toddler Views my own",4973,1390,3159,"The Big Sand Pit","Zahid K",False
8,"1","2024-05-21T07:44:12.770471Z","2021-02-26 02:23:04",1,"['PfizerBiontech', 'COVID19', 'Pfizer', 'CovidVaccine', 'COVID19Vaccine']",1365125195241955331,False,10.02,0,"2th dose","Twitter for iPhone","Second dose of #PfizerBiontech #COVID19 vaccine 🦸🏽‍♀️ #Pfizer #CovidVaccine #COVID19Vaccine https://t.co/cxUFOdWUg9","2024-05-21T07:58:10.252721Z","2009-03-20 01:35:37","#BreastCancerSurvivor. My Randomness. I was bored, so I downloaded Twitter. Intellect. Wisdom. Faith. Grace. #RiceMom #RiceRising",4915,527,706,"Focusing through Faith","RASHE",False
9,"1","2024-05-21T07:44:25.102180Z","2021-01-11 12:35:34",4,"['PfizerBioNTech']",1348609497825210372,False,11.43,0,"1th dose","Twitter for iPhone","Just got my first Covid-19 #PfizerBioNTech Vaccine, would definitely encourage others to do the same when they’re i… https://t.co/bU1AdTo2E5","2024-05-21T07:58:17.038210Z","2020-09-10 17:57:41","Current Student Nurse at University of Birmingham. Bsc in Human Biology.",59,36,67,"","Charlotte",False
11,"1","2024-05-21T07:58:35.438068Z","2021-02-12 08:04:40",4,"['COVAX', 'PfizerBiontech']",1360137733419761666,False,10.662,3,"other","Twitter Web App","#COVAX Facility likely to start delivering #PfizerBiontech vaccines in Q1 of 2021 - making history with the ambitio… https://t.co/kQCEyhSb0h","2024-05-21T07:58:35.438068Z","2011-03-01 16:50:24","Latest news, breaking stories & press releases from the UK Committee for @UNICEF (@UNICEF_UK) and our teams around the world. 
media@unicef.org.uk",925,6130,1039,"","Unicef UK Media",True
10,"1","2024-05-21T07:44:40.006259Z","2021-01-26 11:38:12",6,"['PfizerBioNTech']",1354030878956150784,False,20.692,0,"2th dose","Twitter Web App","#PfizerBioNTech in action ✅👍👏: ""Out of 428,000 Israelis who had received their 2nd doses 💉, a week later only [...]… https://t.co/x9niF5eaZ9","2024-05-21T07:58:48.228405Z","2013-12-05 20:45:46","economist ~ applied micro pays the rent ~ prof @jkulinz (prior @uniinnsbruck) ~ upstream commuter ~ likes to run (regressions) ~ austrian politics 🇦🇹",5104,1422,811,"Wien, Österreich","Martin Halla",False
