Id,MSSubClass,LotArea,Utilities,Neighborhood,BldgType,OverallCond,YearBuilt,TotalBsmtSF,GarageType,MoSold,PoolArea,YrSold,SaleType,SaleCondition,SalePrice
480,30,5925,AllPub,OldTown,1Fam,7,1937,907,Detchd,3,0,2007,WD,Alloca,89471
558,50,11040,AllPub,IDOTRR,1Fam,6,1920,637,CarPort,9,0,2006,COD,Normal,108000
961,20,7207,AllPub,BrkSide,1Fam,7,1958,858,Attchd,2,0,2010,WD,Normal,116500
51,60,13869,AllPub,Gilbert,1Fam,6,1997,794,Attchd,7,0,2007,WD,Normal,177000
574,80,9967,AllPub,Gilbert,1Fam,5,2000,384,BuiltIn,12,0,2007,WD,Normal,170000
108,20,6000,AllPub,OldTown,1Fam,5,1948,789,Detchd,4,0,2008,WD,Partial,115000
1182,120,5587,AllPub,Crawfor,TwnhsE,5,2008,1600,Attchd,11,0,2008,New,Partial,392500
233,160,1680,AllPub,BrDale,Twnhs,5,1972,483,Attchd,6,0,2006,WD,Normal,94500
1218,20,8640,AllPub,Somerst,1Fam,5,2009,1300,Attchd,9,0,2009,New,Partial,229456
1111,60,8000,AllPub,Gilbert,1Fam,5,1995,773,Attchd,6,0,2008,WD,Normal,188000
541,20,14601,AllPub,Timber,1Fam,5,2006,1838,Attchd,3,0,2009,WD,Normal,315000
1209,20,7763,AllPub,NAmes,1Fam,7,1962,931,Detchd,10,0,2008,WD,Normal,140000
652,70,9084,AllPub,Edwards,1Fam,5,1940,755,Detchd,10,0,2009,WD,Normal,108000
689,20,8089,AllPub,StoneBr,1Fam,6,2007,1419,Attchd,10,0,2007,New,Partial,392000
307,60,13474,AllPub,SawyerW,1Fam,5,1990,700,Attchd,6,0,2007,WD,Normal,225000
835,20,7875,AllPub,NAmes,1Fam,6,1961,1144,Attchd,9,0,2008,WD,Normal,139950
691,120,4426,AllPub,CollgCr,TwnhsE,5,2004,848,Attchd,5,0,2008,WD,Normal,141000
238,60,9453,AllPub,SawyerW,1Fam,7,1993,996,Attchd,2,0,2010,WD,Normal,194500
123,20,9464,AllPub,NAmes,1Fam,7,1958,1080,Attchd,6,0,2008,WD,Normal,136000
999,30,9786,AllPub,IDOTRR,1Fam,4,1922,1007,Detchd,5,0,2006,WD,Normal,91000
657,20,10007,AllPub,NAmes,1Fam,7,1959,1053,Attchd,8,0,2008,WD,Normal,145500
551,120,4043,AllPub,NPkVill,TwnhsE,6,1977,1069,Attchd,10,0,2008,COD,Abnorml,140000
858,60,8125,AllPub,Gilbert,1Fam,5,1994,702,Attchd,3,0,2009,WD,Normal,174000
674,20,14442,AllPub,Crawfor,1Fam,7,1957,1477,Attchd,6,0,2007,WD,Normal,257500
1192,160,2645,AllPub,Somerst,Twnhs,5,1999,776,Detchd,11,0,2007,WD,Normal,174000
1318,120,4230,AllPub,Somerst,TwnhsE,5,2006,1352,Attchd,4,0,2007,New,Partial,208900
306,20,10386,AllPub,CollgCr,1Fam,5,2004,2000,Attchd,7,0,2007,WD,Normal,305900
1001,20,10206,AllPub,Edwards,1Fam,3,1952,0,Detchd,7,0,2009,WD,Normal,82000
634,20,9250,AllPub,NAmes,1Fam,7,1954,1056,Attchd,7,0,2007,WD,Normal,139400
