Id,MSSubClass,LotArea,Utilities,Neighborhood,BldgType,OverallCond,YearBuilt,TotalBsmtSF,GarageType,MoSold,PoolArea,YrSold,SaleType,SaleCondition,SalePrice
962,60,12227,AllPub,NWAmes,1Fam,7,1977,1330,Attchd,7,0,2008,WD,Normal,272000
245,60,8880,AllPub,SawyerW,1Fam,5,1994,948,Attchd,5,0,2010,WD,Normal,205000
747,60,8795,AllPub,Gilbert,1Fam,5,2000,952,BuiltIn,4,0,2009,WD,Normal,236000
199,75,5520,AllPub,OldTown,1Fam,6,1912,755,Attchd,7,0,2009,WD,Abnorml,104000
42,20,16905,AllPub,Timber,1Fam,6,1959,1350,Attchd,7,0,2007,WD,Normal,170000
1124,20,9405,AllPub,Edwards,1Fam,9,1947,698,Attchd,6,0,2009,WD,Normal,118000
1355,60,10316,AllPub,CollgCr,1Fam,5,2000,992,Attchd,6,0,2008,WD,Normal,235000
1215,85,10205,AllPub,NAmes,1Fam,5,1962,925,Attchd,5,0,2006,WD,Normal,134500
612,80,10395,AllPub,NWAmes,1Fam,6,1978,1032,Attchd,7,0,2007,WD,Normal,148000
236,160,1680,AllPub,BrDale,TwnhsE,3,1971,483,Detchd,8,0,2008,WD,Normal,89500
1182,120,5587,AllPub,Crawfor,TwnhsE,5,2008,1600,Attchd,11,0,2008,New,Partial,392500
705,20,8400,AllPub,CollgCr,1Fam,5,2004,1473,Attchd,5,0,2010,WD,Normal,213000
14,20,10652,AllPub,CollgCr,1Fam,5,2006,1494,Attchd,8,0,2007,New,Partial,279500
147,30,6120,AllPub,BrkSide,1Fam,7,1931,715,Detchd,11,0,2009,WD,Normal,105000
326,45,5000,AllPub,IDOTRR,1Fam,6,1941,720,Detchd,12,0,2007,WD,Normal,87000
910,60,12589,AllPub,Gilbert,1Fam,5,2005,742,Attchd,6,0,2009,WD,Normal,174000
833,60,9548,AllPub,CollgCr,1Fam,6,2003,941,Attchd,1,0,2010,WD,Normal,237000
680,20,9945,AllPub,Sawyer,1Fam,5,1961,988,Detchd,10,0,2007,WD,Normal,128500
580,50,12150,AllPub,OldTown,1Fam,5,1954,1050,Attchd,11,0,2008,WD,Normal,131500
